Effect_ID,Study_ID,Authors_abbr,Authors_all,PubYear,Title,Field,Hypothesis,Survey_surveillance,Combined_survey_surveillance,Source_population,Study_design,Ecological_cross_level,Outcome_data_source,Outcome_data_source_condensed,Decade,Exposure_level,Combined_exposure_level,Sample_size,Table,Model,Nickname,Outcome,Outcome_type_factor,Exposure_labor_force_participation,Exposure_employment_unemployment,Exposure_income,Exposure_management_professional_roles,Exposure_women_owned_businesses,Exposure_education,Exposure_poverty,Exposure_representation_in_government,Exposure_voter_registration_civic_participation,Exposure_maternal_mortality,Exposure_teen_pregnancy,Exposure_other_health_outcomes,Exposure_women_legal_rights,Exposure_category_employment,Exposure_category_financial,Exposure_category_economic,Exposure_category_education,Exposure_category_political,Exposure_category_legal_rights,Exposure_category_womens_health,Exposure_combo,Exposure_PCA,Exposure_absolute_or_relative,Exposure_reliability_stats,Higher_exposure_means,Num_betas_not_fixed_effects,Num_betas_fixed_effects,Num_predictors_total,Confounders,Model_type,ES_beta,ES_exponentiated_beta,ES_partial_correlation_coefficient,ES_correlation,ES_none_reported,VAR_none_reported,VAR_CI_lower,VAR_CI_upper,VAR_z_score,VAR_p_value_range,VAR_p_value_exact,VAR_standard_error,VAR_t_test,Has_EM_with_interaction_term_not_reported_here,Include_in_regression,GI_and_victimization_was_a_main_question,Num_EMs_from_this_study,Notes
29,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,7,Manufacturing jobs,Female homicide - all,Female homicide,,,,,,,,,,,,,,,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,-0.021,,,,,,,,,,,,-1.11,FALSE,Yes,TRUE,GENERATE,
30,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,8,Income,Female homicide - all,Female homicide,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,-0.396,,,,,,,,,,,,-1.65,FALSE,Yes,TRUE,GENERATE,
31,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,9,Poverty,Female homicide - all,Female homicide,,,,,,,Relative,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,0.415,,,,,,,,,,,,1.56,FALSE,Yes,TRUE,GENERATE,
32,10,Dugan et al.,"Dugan, L.; Nagin, D.S.; Rosenfeld, M.",1999,"Explaining the decline in intimate partner homicide: the effects of changing domesticity, women's status, and domestic violence resources",Criminology,Amelioration,Surveillance,GENERATE,Cities (in the 25 largest MSAs),Serial cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,116,2,Relative education col 1,Edu. ~ Married IPH,Intimate partner homicide - married female victim,Intimate partner homicide,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,LESS sexism,10,33,43,"Crime rates (besides the outcomes of interest), Divorce rate, Percent of population belonging to certain racial/ethnic groups, Rate of unmarried men or women, Domestic violence resources",Tobit regression,0.105,,,,,,,,,,,,0.039,FALSE,Yes,TRUE,GENERATE,
33,10,Dugan et al.,"Dugan, L.; Nagin, D.S.; Rosenfeld, M.",1999,"Explaining the decline in intimate partner homicide: the effects of changing domesticity, women's status, and domestic violence resources",Criminology,Amelioration,Surveillance,GENERATE,Cities (in the 25 largest MSAs),Serial cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,116,2,rel earnings col 1,Income ~ Married IPH,Intimate partner homicide - married female victim,Intimate partner homicide,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,10,33,43,"Crime rates (besides the outcomes of interest), Divorce rate, Percent of population belonging to certain racial/ethnic groups, Rate of unmarried men or women, Domestic violence resources",Tobit regression,6.48,,,,,,,,,,,,1.472,FALSE,Yes,TRUE,GENERATE,
34,10,Dugan et al.,"Dugan, L.; Nagin, D.S.; Rosenfeld, M.",1999,"Explaining the decline in intimate partner homicide: the effects of changing domesticity, women's status, and domestic violence resources",Criminology,Amelioration,Surveillance,GENERATE,Cities (in the 25 largest MSAs),Serial cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,116,2,"rel education, col 3",Edu. ~ Unmarried IPH,Intimate partner homicide - unmarried female victim,Intimate partner homicide,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,LESS sexism,10,33,43,"Crime rates (besides the outcomes of interest), Divorce rate, Percent of population belonging to certain racial/ethnic groups, Rate of unmarried men or women, Domestic violence resources",Tobit regression,1.858,,,,,,,,,,,,0.987,FALSE,Yes,TRUE,GENERATE,
35,10,Dugan et al.,"Dugan, L.; Nagin, D.S.; Rosenfeld, M.",1999,"Explaining the decline in intimate partner homicide: the effects of changing domesticity, women's status, and domestic violence resources",Criminology,Amelioration,Surveillance,GENERATE,Cities (in the 25 largest MSAs),Serial cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,116,2,rel earnings col 3,Income ~ Unmarried IPH,Intimate partner homicide - unmarried female victim,Intimate partner homicide,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,10,33,43,"Crime rates (besides the outcomes of interest), Divorce rate, Percent of population belonging to certain racial/ethnic groups, Rate of unmarried men or women, Domestic violence resources",Tobit regression,1.378,,,,,,,,,,,,0.44,FALSE,Yes,TRUE,GENERATE,
36,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Income ~ MSA (FBI),Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.27,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,"Their partial correlation coefficients were presented multiplied by 100 (between 0 and 100, rather than 0 and 1), so we've divided by 100 to use their results in our analysis. It's ok to not have a variance reported since they give us partial correlation coefficients, which is ultimately what we're looking for."
37,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Edu. ~ MSA (FBI),Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.04,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
38,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Employ. ~ MSA (FBI),Rape - all,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.23,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
39,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Mgmt/prof. ~ MSA (FBI),Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.08,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
40,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Sex diff: judges/lawyers ~ MSA (FBI),Rape - all,Rape,,,,,,,,,,,,,,,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.16,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
41,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,25,2,SMSA-FBI rape rates,Sex diff: police ~ MSA (FBI),Rape - all,Rape,,,,,,,,,,,,,,,,GENERATE,,,,,GENERATE,,Relative - Difference,,LESS sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.38,,,,,,,Between 0.1 and 0.05,,,,FALSE,Yes,TRUE,GENERATE,
42,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,26,2,Central City-FBI rape rates,Income ~ Central City (FBI),Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.02,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
43,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,26,2,Central City-FBI rape rates,Edu. ~ Central City (FBI),Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.03,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
44,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,26,2,Central City-FBI rape rates,Employ. ~ Central City (FBI),Rape - all,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.19,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
45,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,FBI,FBI,1970s,City,GENERATE,26,2,Central City-FBI rape rates,Mgmt/prof. ~ Central City (FBI),Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.08,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
46,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,Survey (NCVS),Survey,1970s,City,GENERATE,26,2,Central City-Victimization survey rape rates,Income ~ Central City (survey),Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.32,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
47,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,Survey (NCVS),Survey,1970s,City,GENERATE,26,2,Central City-Victimization survey rape rates,Edu. ~ Central City (survey),Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,-0.01,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
48,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,Survey (NCVS),Survey,1970s,City,GENERATE,26,2,Central City-Victimization survey rape rates,Employ. ~ Central City (survey),Rape - all,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.03,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
49,11,Ellis & Beattie,"Ellis, L.; Beattie, C.",1983,The feminist explanation for rape: an empirical test,Sociology,Amelioration,Survey,GENERATE,Large cities,Cross-sectional,Ecological,Survey (NCVS),Survey,1970s,City,GENERATE,26,2,Central City-Victimization survey rape rates,Mgmt/prof. ~ Central City (survey),Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,9,0,9,"Area median income, Divorce rate, Population size, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, percent family heads employed, percent in prof/managerial, ","Partial regression (""lowest 2nd order partial correlation"")",,,0.01,,,,,,,>0.1,,,,FALSE,Yes,TRUE,GENERATE,
50,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,3,,Black+White ~ Edu.,Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,-0.73,,,,,,,,,,,0.473,,FALSE,Yes,TRUE,GENERATE,
51,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,3,,Black+White ~ Employ.,Rape - all,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,2.808,,,,,,,,,,,1.493,,FALSE,Yes,TRUE,GENERATE,
52,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,3,,Black+White ~ Income,Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,-0.035,,,,,,,,,,,1.049,,FALSE,Yes,TRUE,GENERATE,
53,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,3,,Black+White ~ Mgmt/prof.,Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,0.981,,,,,,,,,,,0.478,,FALSE,Yes,TRUE,GENERATE,
54,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,4,,White ~ Edu.,Rape - White,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,-1.354,,,,,,,,,,,0.577,,FALSE,Yes,TRUE,GENERATE,
55,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,4,,White ~ Employ.,Rape - White,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,5.404,,,,,,,,,,,1.315,,FALSE,Yes,TRUE,GENERATE,
56,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,4,,White ~ Income,Rape - White,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,2.982,,,,,,,,,,,1.134,,FALSE,Yes,TRUE,GENERATE,
57,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,4,,White ~ Mgmt/prof.,Rape - White,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,-0.533,,,,,,,,,,,0.432,,FALSE,Yes,TRUE,GENERATE,
58,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,5,,Black ~ Edu.,Rape - Black,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,-0.918,,,,,,,,,,,0.159,,FALSE,Yes,TRUE,GENERATE,
59,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,5,,Black ~ Employ.,Rape - Black,Rape,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,1.585,,,,,,,,,,,0.555,,FALSE,Yes,TRUE,GENERATE,
60,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,5,,Black ~ Income,Rape - Black,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,1.075,,,,,,,,,,,0.668,,FALSE,Yes,TRUE,GENERATE,
61,12,Eschholz & Vieraitis,"Eschholz, S.; Vieraitis, L.M.",2004,Race-specific gender equality and rape: a further test of feminist hypotheses,Criminology,Other - race will modify relationship,Surveillance,GENERATE,"Cities (population > 100,000 & Black residents > 2,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,148,5,,Black ~ Mgmt/prof.,Rape - Black,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,15,0,15,"Divorce rate, Income inequality (gini), Poverty rate, Percent of population in certain age brackets, Unemployment rate, Urbanness/density, Population change 1980-1990, + measures of women's absolute status (edu, emplyment, income, executives)",Poisson regression,0.005,,,,,,,,,,,0.166,,FALSE,Yes,TRUE,GENERATE,
62,13,Gillespie & Reckdenwald,"Gillespie, L.K.; Reckdenwald, A.",2015,"Gender equality, place, and female-victim intimate partner homicide: a county-level analysis in North Carolina",Criminology,Backlash,Surveillance,GENERATE,North Carolina counties,Cross-sectional,Ecological,Compilation of law enforcement records & media reports (North Carolina Coalition Against Domestic Violence),Local law enforcement,2000s,County,GENERATE,100,3,3,IPH (female vic.),"Intimate partner homicide - female victim, male perpetrator",Intimate partner homicide,,Relative,,Relative,,Relative,,,,,,,,TRUE,,GENERATE,TRUE,,,,GENERATE,TRUE,Relative,Cronbach's alpha = .618,LESS sexism,6,0,6,"Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, Sex ratio, Urbanness/density",Negative binomial Poisson regression,0.1,,,,,,,,,,,0.06,,TRUE,Yes,TRUE,GENERATE,Interaction with rurality not included here
63,13,Gillespie & Reckdenwald,"Gillespie, L.K.; Reckdenwald, A.",2015,"Gender equality, place, and female-victim intimate partner homicide: a county-level analysis in North Carolina",Criminology,Backlash,Surveillance,GENERATE,North Carolina counties,Cross-sectional,Ecological,Compilation of law enforcement records & media reports (North Carolina Coalition Against Domestic Violence),Local law enforcement,2000s,County,GENERATE,100,3,3,IPH (all),Intimate partner homicide - all,Intimate partner homicide,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,TRUE,Relative,Cronbach's alpha = .619,LESS sexism,6,0,6,"Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, Sex ratio, Urbanness/density",Negative binomial Poisson regression,-1.42,,,,,,,,,,,2.11,,TRUE,Yes,TRUE,GENERATE,Interaction with rurality not included here
64,14,Goodson & Bouffard,"Goodson, A.; Bouffard, L.A.",2019,Social disorganization and gender equality as correlates of family violence and rape,Criminology,Other - interested in social disorganization,Surveillance,GENERATE,Texas counties,Cross-sectional,Ecological,FBI,FBI,2010s,County,GENERATE,254,2,3,Edu. ~ Rape,Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,MORE sexism,12,0,12,"Divorce rate, Poverty rate, Percent of population belonging to certain racial/ethnic groups, Residential stability/instability, Sex ratio, Social disoganization, Unemployment rate, Women's absolute status indicators",Negative binomial Poisson regression,-0.875,,,,,,,,,,,0.518,,FALSE,Yes,TRUE,GENERATE,
